Movie Name,Original Language - Year of Release,Overview,MDL Rating
Dragon Stone Password,Chinese Movie - 2024,"In the early 1980s, in a small town by the mountains in the northwest, Chen Yong worked as an assistant in a herbal medicine shop run by Qi Yi Ran's family. When Qi Yi Ran went missing during a mountain expedition with…",
Pain,Chinese Movie - 2024,,
Escape,Korean Movie - 2024,"Military camp nearby the DMZ of a divided land, where South is the land of freedom, and the opposite side is land of repression. Sergeant Kyu Nam, who has been planning an escape to the South for a long time, gets caught…",8.1
Hiraya,Filipino Movie - 2024,"Hiraya is a mysterious woman found unconscious in a river. She wakes up not remembering anything and is unable to speak. The townspeople take advantage of Hiraya, but it seems that those who do, always end up in misfortune.…",5.9
Pierce,Taiwanese Movie - 2024,"Jie doesn’t get along with his cult-going, homophobic mother, which makes harboring a secret crush on his boys fencing club teammate difficult. When his violent and troubled older brother, who was an avid fencer himself,…",
Kuman Thong,Filipino Movie - 2024,"Clara travels to Thailand with daughter Katie to see Namfon, the mother of her Thai fiancé Dom, to ask for her blessing. But Namfon is against letting her only son Dom migrate to the Philippines. They’re not ready,…",
Smartphone Matters,Korean Movie - 2024,"Hwang Eun Jeong, a third-year middle school student in 2011, was moved by the sight of her friends switching to smartphones one by one. She begged her mother, but her mother did not budge. Eun Jeong is obsessed with…",
Huan Xing,Chinese Movie - 2024,,
Xiao Xiao,Chinese Movie - 2024,,
Joppari: Kango no Hito Hanada Miki,Japanese Movie - 2024,"Depicts the life of Hanada Miki, a nurse known as “Aomori’s Nightingale”, who dedicated her life to health and nursing. Chisato, who was busy raising her son as a single mother, meets Hanada Miki, a regular at…",
Adventures in Western Sichuan (Movie),Chinese Movie - 2024,,
A Life of Loyalty,Chinese Movie - 2024,,
Shine,Korean Movie - 2024,"Sixteen-year-old Ye Seon, who lives in Bukchon-ri, Jeju, recently lost her grandmother. Ye Seon, who has vowed that she must get used to living alone, does not open her heart to the nuns who took care of her or to the…",
