Movie Name,Original Language - Year of Release,Overview,MDL Rating
Adarna Gang,Filipino Movie - 2022,"Seeking justice, Adriana vows to take revenge on the family that killed her father - her target: the patriarch and his three sons Juan, Diego and Pedro.

(Source: IMDb)",4.7
Silver Moon Light,Chinese Movie - 2022,,
Invited Delivery Man 2,Korean Movie - 2022,"An erotic love film depicting a couple with sexual problems due to the muscular delivery man's erectile dysfunction and a female urologist.

Source: HanCinema",
Strangers,Japanese Movie - 2022,"Yukie, a dental nurse in a rural town, doesn’t verbalize her true feelings often but she dreams of living by the sea. This is vague desire becomes something more concrete when the relentless power harassment of her…",
Kubli,Filipino Movie - 2022,"How long will it take you to free yourself from judgements that are too risky for your well-being?

(Source: IMDb)",
JO1 the Movie: Unfinished - Go to the Top,Japanese Movie - 2022,"The documentary covers the first two years of JO1, an 11-member Japanese boy band formed from the audition television program Produce 101 Japan. The group was promised a spectacular career, but they were not confident…",
So Long Summer Vacation,Chinese Movie - 2022,"In the late 1980s, the first group of only children in China entered the inter-primary and junior high school years. One of these only children was Chen Xiaojin. At the beginning of Chen Xiaojin's summer holidays, his…",6.5
Reborn,Taiwanese Movie - 2022,"In 2010, with all their passion for basketball, the students in a prestigious high school in the city are chasing after the dreams and hopes that only basketball can give them. It’s a shiny life of the youth. However,…",
Love Story,Chinese Movie - 2022,"Migrant worker Zhang Hao fell in love with female anchor Chun Xiao, but little did he know that there were layers of conspiracies hidden behind this love affair. The fraud gang headed by Xiang Xiang threatened Chun Xiao…",
A Room of One’s Own,Chinese Movie - 2022,"A young couple, Quiney and Chen Feng move into their new apartment and find a giant red mattress. Quiney wants it gone while Chen Feng is happy to leave it laying there. The mattress and their attitudes to it serve as…",
Summer Wedding,Japanese Movie - 2022,"The Covid-19 pandemic is ongoing but in one old house, it is just news reports overheard on the radio by two lovers who have secreted themselves away. While the world reels from the chaos caused by the pandemic, they…",
Thibaan the Series : Doctor Plawan,Thai Movie - 2022,,
Zhu Bei Uncrackable Case,Chinese Movie - 2022,"Criminal Police Captain Meng Dong just took office when he received a floating corpse case. Shi Shui Sheng, a fisherman in the town of Zhubei where the incident occurred, took the initiative to turn himself in. Captain…",
What I Learned from Cycling 6 Times Around the World,Japanese Movie - 2022,"The main cast is Mr. Hideki Matsumoto who lives in a slum as a manual worker, 60 years old. The place where he usually lives is 500yen per night. He is an environmental activist and speaker who has given around 2000…",
In Our Prime,Korean Movie - 2022,"Ji Woo, an outcast in a prestigious private high school, does not fit in due to different social backgrounds than his well-to-do classmates. One day, he meets Hak Sung, the school’s security guard who is actually a…",8.1
Fighting Darksider,Chinese Movie - 2022,"Twenty years ago, mankind was invaded by the dark clan led by the great sacrifice of a witch. Now, the dark power has awakened again. In order to prevent a catastrophe, Zhang Ke, Yun Ling, and Fu Xi go on an adventure…",6.8
Xin Xiang Nian Dong,Chinese Movie - 2022,,
Yao Gun Pi Ying,Chinese Movie - 2022,,
"Peacock, Peacock",Chinese Movie - 2022,"Yi Yi, an office worker, and Ah Juan, a woman working in a garment factory, are separated by a wall in the industrial district of Dongguan. The two are unacquainted and live seemly unrelated lives, but their paths intersect…",
Journey to the West: The Supreme Treasure,Chinese Movie - 2022,,7.4
Intimate Strangers,Japanese Movie - 2022,"A psychological thriller set in the post-COVID Tokyo. The film follows a woman looking for her missing son, and a shady young man who approaches her, claiming to know her son.

(Source: TIFF)",7.1
Obey Me! Boss Lady,Chinese Movie - 2022,"Jiang Fu Yue was entrusted by his old friend, Hua Huang Shang to bring back Hua Sheng Tang back to the Hua family. However, when Jiang Fu Yue and Hua Sheng Tang met, he found her pedalling vegetables on the street and…",6.7
I Tried to Detect the Street,Japanese Movie - 2022,,10.0
Moonlight Diner,Japanese Movie - 2022,,
Yamato Detective Diary,Japanese Movie - 2022,"Depicts the story of a young female detective. Madoka, who got a job in her detective business, is given the job of searching for a woman who left her husband and left home, but at the same time her sister Mahoro comes…",
The Last 10 Years,Japanese Movie - 2022,"Takabayashi Matsuri learns that she only has 10 years to live due to an incurable disease. She decides to not dwell on her life and not to fall in love, but she meets Manabe Kazuto at a school reunion. (Source: MyDramaList)…",8.3
Mankai Movie A3!: Autumn & Winter,Japanese Movie - 2022,"""Director! Please make our talent blossom!"" Veludo, a suburb of Tokyo, is a mecca for actors and home to many theatre companies along its famous Veludo Way. The film audience's point of view will overlap with that of…",8.4
Deep in the Sea,Chinese Movie - 2022,"Psychological consultant Huang Xiao Jun was suspended after being accused of sexual harassment of female clients, but then his mentor Professor Wu introduced him to a schizophrenic patient named Zhao Li Hua. Huang Xiao…",7.8
Kung Fu Hairdresser,Chinese Movie - 2022,"Li Chong Guang, a young man from a small town, is determined to leave his hometown to learn the art of barbering with different ideas from his father, the hair god, Lao Li Tou. (Source: Chinese = Douban || Translation…",7.6
The Red Sparrow,Chinese Movie - 2022,"The film tells that in the second half of the 21st century, a fierce conflict broke out between humans and artificial intelligence. The heroine Yi Ni made a decision of fate and led the robot army to launch a decisive…",6.5
The Last Five Years,Filipino Movie - 2022,"Being together for almost five years, Joan expects William to pop the question. They love each other. They live together. Marriage is the only thing that's missing. But for William, it's the hardest to give. (Source:…",
1446: An Eternal Minute,Japanese Movie - 2022,"American video director Steve, who is good at comedy, comes to Japan to make a documentary about 3.11, but when he visits a disaster area, he sees a theater stage and thinks about making a comedy movie. As he continues…",
School Lunch,Japanese Movie - 2022,Depicts the “bonds” that connect through “food” under the theme of school lunch in Ashiya City. Nonomura Nana is a new nutritionist who works at an elementary school in Ashiya. Struggle every day for the smiles…,10.0
This Town and Me,Japanese Movie - 2022,"Murata Miki just started working at a production company which produces variety TV programs. She worked as an assistant director on the 30-minute late night local TV show ""This City and Me"" which features good points…",10.0
Wedding Is Coming,Chinese Movie - 2022,,
Requiem,Chinese Movie - 2022,"~~ Adapted from the novel ""Requiem"" by Zhou Da Xin.",
Sophie's World,Korean Movie - 2022,"Sophie′s world shows the four days in the life of Sophie during her visit at Soo Young and Jong Gu′s house. It portrays, in a plain tone, the struggles of Soo Young and Jong Gu, who are in love with each other, and…",7.7
Killing Singclaire,Korean Movie - 2022,"Aren't birds breaking out of the world called eggs? Anyway, there's only one option.
A letter to the past. ""Sister... how are you?""

(Source: STOPSTOPMOVIE Youtube)",1.0
Drawing Sword: Fighting Ghost Cry,Chinese Movie - 2022,"At the beginning of 1942, the Japanese army swept the base area in northwest Shanxi. In order to combat the arrogance of the Japanese army, Li Yun Long led an independent regiment to attack Ping’an County. Japanese…",5.0
Puffer Rhapsody,Chinese Movie - 2022,"By fabricating her biography, Luo Su, a young Chinese white-collar worker from a low-income family, hopes to wed Mr. Win, an alluring bachelor. But when her mother's shocking TV interview exposes her deceit, she loses…",10.0
Red Paper Crane,Chinese Movie - 2022,,10.0
Cut-Off,Filipino Movie - 2022,"The story of a girl whose dream is to graduate. The clock is ticking as her father struggles to send the money she needs to pay her school fees on time.

(Source: Viddsee)",
"Hidaka-Kun, Who Is Always Reading Books That Seem Difficult",Japanese Movie - 2022,,6.9
Be There for You,Chinese Movie - 2022,,
Lifesaver‘s Promise,Chinese Movie - 2022,"Based on the Liyuankou Battle of of the West Road Army of Chinese Workers' and Peasants' Red Army, this tragic epic tells the story of the Red Army's bloodshed in the Hexi Corridor and how they fought the enemy to the…",
Hello Uncle,Chinese Movie - 2022,,
Millennial Killer,Korean Movie - 2022,"A dark comedy short film starring students from the Korean National University of Arts (한국예술종합학교). It tells the story of Jung Shik, who had to live in hiding due to gambling debt, now finds himself in…",
Small Town Sunset,Chinese Movie - 2022,"Chen Shi is a retired old man. He returned to his hometown to prepare the renovation of the old house. He had a conflict with several former classmates. In the end, friendship reconciled them. They also cooperated to…",
Memory Maze,Chinese Movie - 2022,"The film tells the story of Fang Hao and his girlfriend Jiang Xia who got into a car accident on their way to travel to celebrate their engagement. When he woke up, he found himself in a mental hospital. The car accident…",6.6
Yume ga Nemuru Basho,Japanese Movie - 2022,"Sasahara, who dreamed of becoming a photographer, was not doing well at his job and was about to give up on his dream. At that time, he meets Saki, a girl who has to shoulder her parents' debts. (Source: Japanese = Filmarks.com…",
Tinted with You (Movie),Korean Movie - 2022,"In Korea’s feudal past, deposed Crown Prince Lee Heon was forced into exile when his cruel older brother usurped the throne. His sibling plans to permanently secure his position, leaving Lee Heon fearing for his life…",7.4
Color Rush 2 (Movie),Korean Movie - 2022,"Choi Yeon Woo is a high school student and a “mono” – a person who sees the world only in a dull and lifeless black and white. But for every mono, there is a “probe” – a kind of soulmate who allows the mono…",7.1
Return to Dust,Chinese Movie - 2022,"The humble, unassuming Ma and timid Cao have been cast off by their families and forced into an arranged marriage. To survive, they have to come together and build a home for themselves.

(Source: IMDb)",8.2
Underground Monster,Chinese Movie - 2022,"Near a remote town, the repeated dumping of toxic waste causes an underground cave dweller to mutate into a hideous monster. A construction team that is digging a tunnel accidentally disturb the creature’s habitat…",7.3
Breaking Through,Chinese Movie - 2022,"The film is inspired by China's ""breakthrough zero"" for gold medals in the Chinese Winter Olympics, telling the story of the Winter Olympics athletes struggling to forge ahead and win glory for the country. In 1980,…",7.3
Ribbon,Japanese Movie - 2022,"It is the winter of 2020, and a graduation project that had taken a year to complete can no longer be showcased at its planned venue because of COVID-19. She has time at home, but she no longer has any motivation to…",7.3
Love Nonetheless,Japanese Movie - 2022,"Koji runs a second-hand bookstore. He likes female drummer Ikka, but, suddenly, female high school student Misaki appears in front of him and keeps confessing her feelings for him.

(Source: AsianWiki)",7.0
Classroom 2022,Filipino Movie - 2022,Classroom 2022 by Diana Galang is a comedy-drama short film depicting the Philippines’ political environment embodied in a classroom election. It follows the students of Grade 10 - Maharlika who were tasked to appoint…,7.0
Man's Creed,Chinese Movie - 2022,"The film is a tough-guy drama focusing on the drug trade. It tells the story of Xiao Jianfeng, who was framed and detained overseas for 25 years. After he was released from prison, he was entrusted by a mysterious person…",7.0
Recurring Dream,Filipino Movie - 2022,"A woman falls into a deep dream-like cycle, unsure of what the future brings. Recurring Dream by Alecx Julianne Literal follows the perspective of an unnamed woman accomplishing her daily routine within the confines…",6.3
Bahay Na Pula,Filipino Movie - 2022,A young couple Raffy and Jane are tasked to finalize all the requirements on the sale of their ancestral home in the town of Pola. But their transaction doesn't go as planned when the mayor insists that their ancestral…,6.2
Submit,Filipino Movie - 2022,Two girls are competing against each other online for a coveted college scholarship. Will the odds be in their favor? Submit by Francis Ner Marañon is inspired by the filmmaker’s struggles while studying and taking…,6.2
Little Daughters,Korean Movie - 2022,"A film about a novelist's sexual behavior to write a new article.

(Source: HanCinema)",5.0
New Five Golden Flowers,Chinese Movie - 2022,"The film tells the story of Mu Xun Xin, a frustrated musician in both the workplace and in love, who drove to Yunnan and embarked on a journey of searching for his heart that spanned 3,000 kilometers. He met the sassy…",10.0
The Legend of Chi Yan,Chinese Movie - 2022,"Lu Yao, a disciple of Fu Wen Zhi, the leader of Baidao, was jealous of the emotions of his older brother Ming Zhao and his older sister Pan Shu and ran away in anger. The master was killed, the brothers turned against…",
AI Sex Hotel,Korean Movie - 2022,Welcome! Come inside to the unmanned AI Hotel! Min goo and Soo Ji entered an unmanned hotel located in an attractive location. AI that is more human than humans greet them and received fantastic services from the all-rounder…,
Shonen to Sensha,Japanese Movie - 2022,Junior high school student Tazaki hates living in a boring rural town where his only friend is a shy boy named Eda and the two are bullied by classmates. The only pleasure Tazaki gets is thinking about a kind girl who…,
Toku e Ikitaiwa,Japanese Movie - 2022,"A young woman named Sara is forced to confront her hidden anger when she works with an older colleague named Takeuchi.

(Source: genkinahito.wordpress.com)",
Long-Term Coffee Break,Japanese Movie - 2022,"Yuko is an efficient company employee who marries her polar opposite Naoki, an actor who is more laid back and lives in other people’s houses. When couples surrounding them start having trouble one after another, Yuko’s…",
After Korea,Korean Movie - 2022,"At a time when there was a 30-minute time difference between South and North Korea, North Korean refugees Tae Hee and Dae Soo, who were born during a nuclear test accident, hide away in the Soo Chan's house, a high school…",
Nihon Toitsu Gaiden: Yamazaki Ichimon 3,Japanese Movie - 2022,,
"Drifting Flowers, Flowing Days",Japanese Movie - 2022,"Follows three young people – one working on a construction site, one in a flower shop and the other in a design studio – who gradually begin to change when they start questioning life. 

(Source: Screen Daily)",10.0
Connection,Japanese Movie - 2022,,8.6
That Disappearance,Japanese Movie - 2022,,10.0
Gray Wall Gear,Japanese Movie - 2022,"The stage of this work is Saitama, a suburb of Tokyo in the early Heisei period. Immediately after the bubble burst gangster countermeasures law, there were gangsters who defended the last territory and young people…",
Si Jhemalyn At Ang 'Di Matapos Na Paghahanap Ng Karot Keyk,Filipino Movie - 2022,Si Jhemalyn at ang 'Di Matapos na Paghahanap ng Karot Keyk by Ruka Azuma is inspired on a true story that focuses on Jhemalyn not being able to continue her tradition with the sudden cancellation of her carrot cake order…,8.0
Looooongest Line,Filipino Movie - 2022,"Looooongest Line by Giulia Saavedra is about people lining up for ""ayuda"" represented by household items on a familiar setup of a parlor game called ""Longest Line"". But unlike those in parties, these people aren't playing…",
Tuloy Pa Din Ang Training,Filipino Movie - 2022,"Tuloy Pa Din Ang Training by Denzel Galindez is about a day in the life of an aspiring dancer — his wins, hardships, and aspirations. Even as he is shunned from public spaces and left to his own devices, he still finds…",
Bitin,Filipino Movie - 2022,"Bitin by Maria Del Carmen Villapol is about an interview with real people as they share the struggles they face and the hopes they have for the future, but the problem is we never hear their full story. (Source: Ticket2Me)",
Mangha,Filipino Movie - 2022,"Mangha by Mark Terence Molave tells the story of a young boy who wanders around their new house given by a mysterious man named Mang Harold.

(Source: Ticket2Me)",
Pila. Pili. Pilipinas,Filipino Movie - 2022,"Pila. Pili. Pilipinas. by Joseph Guinto Navarro is a short documentary film that invites you to look into the importance of our individual choices based on the social, political, and economic conditions of our society.…",
Nachan no Kazoku,Japanese Movie - 2022,"Fourth-grader Natsumi is stressed and exhausted because of her bickering parents. And then, one day she decides to run away from her home and take shelter in her grandmother's house. But, the warm and relieved time with…",
Mound Daughter-in-law,Korean Movie - 2022,"Kyeong Hwan, who stayed home alone with his daughter-in-law from the countryside, comforted each other.

(Source: HanCinema)",
Chronicle in the Ruins: Our Own Ethnographic Film,Japanese Movie - 2022,A documentary that shows the love and bond within a family as they face the consequences of a fire that destroyed their home by making a film. Hara Masato made his debut as a high school student in the 1960s and was…,
Cicadas,Korean Movie - 2022,"The story revolves around a master of the traditional funeral play called Jindo Dasiraegi. One day, his daughter returns home years after she left, saddled with debt. Their relationship remains uneasy as she is still…",7.3
Cracked,Thai Movie - 2022,The horror-thriller movie unfolds bizarre stories taking place after a prominent painter commits suicide. Ruja inherited a collection of mysterious paintings from her father who was a painter. She needed to repair the…,7.2
Dust and Ashes,Korean Movie - 2022,"""Dust and Ashes"" depicts the days after the death of Hae Soo’s mother, that she holds a funeral and reports her mother’s death. It is difficult to find traces of sadness or mourning in the faces of Hae Soo and her…",6.5
Snake Island Python,Chinese Movie - 2022,"A group of young people go on a graduation trip to a remote island. Unbeknownst to them, the island is the home of a monstrous-sized python. Though the kindly caretaker tries to help the young people, will they all be…",6.1
Rice People,Korean Movie - 2022,"Even in the push and pull era which is full of flour and sugar, rice firmly protects the table of the rice bowl nation! There are farmers who grow the rice in different ways. Nam Ho Hyeon, a young farmer who continues…",
Serve the People,Korean Movie - 2022,"A melodrama about the story of Moo Kwang who dreams of becoming a model soldier of the division commander's house, conflicting between the wall of status and the temptation to escape due to his meeting with the commander's…",7.3
Apink Special Movie: Horn,Korean Movie - 2022,"Representative KPOP girl group 'Apink' Let's look back on the 10th anniversary of 'Apink', the group that has always been by our side! What does the preparatory production stage for their 10th anniversary special album…",7.6
The World of Love Has You,Chinese Movie - 2022,"A university in the south welcomes a new batch of freshmen. Among them is the most dazzling and unruly handsome Lin Yi, a lot of girls are crazy about him, but only Molly ignores his existence. However, an accidental…",7.7
Service Mind,Thai Movie - 2022,,6.9
Lop Nar Mysterious Event,Chinese Movie - 2022,"During the Republic of China in the Lop Nur area a bizarre case takes place. Shi Chu Qi, the president of the investigative organization ""Seven Sons Club"" leads the members to solve the mystery. 

(Source: Douban)",6.4
Truth or Dare,Korean Movie - 2022,"Ji Young and Jin are the closest of friends. Following a visit to a bar together one night, the two of them decide to have another drink at Ji Young's house. Out of ordinary, Jin is exceptionally drunk and suggests Ji…",6.6
When It's Delicious: When My Love Blooms,Korean Movie - 2022,"Yeong Kyoo is a funny guy who worries about his wife while cheating on her. One day, the wife makes a secret move. Yeong Kyoo is suspicious and follows her. He meets a mysterious woman named Jin Joo. Yeong Kyoo has a…",
Ring Wandering,Japanese Movie - 2022,"In central Tokyo, a young man Sosuke aspires to be a manga artist. His current work is about a battle between a hunter and a Japanese wolf. He can’t draw the extinct wolf well, neither develop the story. One winter’s…",7.4
"Husband, Go Fighting!",Chinese Movie - 2022,"Wu Si Cheng, the young master of the Wu family, placed a request to a mysterious organization, ""Bai Shi Tong Da"", to find someone to protect him and help him reclaim the Wu family property from his brothers-in-law. However,…",
Inukoro Songs,Japanese Movie - 2022,,
The Blue Skies at Your Feet,Japanese Movie - 2022,"Miyu and Shuya are high school students. They have dated for 2 years. Miyu and Shuya have a promise that no matter what, they will watch a movie together on the first day of each new month. When Miyu and Shuya are on…",7.4
True Accident Property / Really Scary Residents,Japanese Movie - 2022,"A violence horror full of bloody gore, splatter, and cruel depictions. An apartment where YouTuber and an idol's egg were forced to participate in a program called ""I can't go home until I live in the accident property…",7.4
Boy Bastos,Filipino Movie - 2022,"Felix, a horny young man meets an alluring woman who will live at his house and teach him Sex 101.

(Source: VivaMax)",7.6
Ruri to Karasu,Japanese Movie - 2022,"It’s a story about a bullied honor student Raku and a charismatic yankee Mike that met together thanks to an exchange of notes. The two of them, who were not supposed to meet, formed a manzai duo through a notebook…",7.4
Ox-Head Village,Japanese Movie - 2022,"The third film from the Village of Terror series, following on from ""Inonaru Village"" (2020) set in Kyushu and ""Jukai Village"" in Fuji (2021). This installment is set at the feared psychic spot of Tsubono Mineral Springs…",6.9
Boxing Champion Mother,Chinese Movie - 2022,,5.5
Spread the Love,Japanese Movie - 2022,,
Radio Exercises for Mantaro,Japanese Movie - 2022,,
Tsurumi-san's Meriba Course,Japanese Movie - 2022,,
Hayami Sanae Is a Little Late,Japanese Movie - 2022,,10.0
The Cherry Bushido,Japanese Movie - 2022,"Shizuka Yamato is a fourth-year college student with a strong sense of justice and a patriotic spirit. She is looking for a job, but she secretly desires to take over Yamato Isshinkan, the kendo dojo owned by her father,…",10.0
Case 1922,Chinese Movie - 2022,"The female ghost is resurrected in the dark night! The Republic of China ghost kills! Bai Mi buried the corpse and devoured the soul, the ghost blade pierced the abdomen to kill the spirit, and the female ghost named…",10.0
Her Story,Filipino Movie - 2022,"Meet Phoebe, a shining online fiction writer. For her to keep her spot, she needs to fight for it. Will her story be a hit or miss?

(Source: starhunt.abs-cbn)",9.0
Escape Ball Child,Japanese Movie - 2022,,
Love Without Clutching Leave Without Guilt,Taiwanese Movie - 2022,"Lingtan Street is home to many mixed-up women: A woman who loses her family, a lesbian couple running a small bookshop, a vegetable stall owner who can't escape from her husband's control, a young mother who is forced…",
Workplace Picnic Goal,Korean Movie - 2022,"Office colleagues left for a picnic through their old maid manager. However, their manager had a different goal in mind for the picnic. She takes advantage of the absence of the other employees to attack the male manager.…",
Breathless,Hong Kong Movie - 2022,"The newly married couple, Tung and Nam, are going to meet the arrival of a new life. However, the disaster arrives first. The weird fog made the oxygen content in the air become impossible to survive with. Both of them…",
Point,Japanese Movie - 2022,,
Mirrorliar Films Season 2,Japanese Movie - 2022,,
The Little Star,Japanese Movie - 2022,,
Miko.Kannagi,Japanese Movie - 2022,"Sana, a girl who lost her father four years ago, lived modestly and happily with her mother, but one day, a ""messenger"" suddenly appeared in front of them. Why did she appear...? The darkness lurking in modern society,…",
Imperial Osaka Dojima Deiri Bashi,Japanese Movie - 2022,,
Koko Go on a Picnic,Japanese Movie - 2022,,
Life Is But a Dream,Korean Movie - 2022,"An undertaker who needs woods to build a coffin for the savior of his village digs up an abandoned grave. But while doing so, he accidentally awakens the ghost of an ancient swordsman. Now the ghost tries to take back…",7.1
Jump Start,Hong Kong Movie - 2022,"Siu Kwan is unable to let go of her past with her boyfriend and discovers by chance that her ex has moved on. She has a sudden impulse to destroy his car for revenge. That night, she keeps cruising around with his car…",6.0
The Only You in the World,Chinese Movie - 2022,,
The Combat Kings,Korean Movie - 2022,"May 18, 1980, during the Gwangju Democratization Movement. The Chun Doo Hwan regime came to power in a coup d'état by slaughtering peaceful protest crowds. The people continued to fight against the military dictatorship…",
The Novelist's Film,Korean Movie - 2022,"The story about a novelist, Joon Hee, who goes a long way to the bookstore of her junior who disappeared, climbs the tower by herself, meets the movie director couple, and Gil Soo while walking in the park, persuading…",7.0
Refresh,Korean Movie - 2022,"A singer who's out of his prime, 'K', taking charge of music therapy for ADHD, depression, and alcoholic patients, and the story of healing each other while preparing for a music competition with them.",7.0
The Legendary Tazza's Tap,Korean Movie - 2022,"About the story of a man who was called 'tazza' in the online gambling board as he jumps into a real gambling board for revenge of his friend.

(Source: Naver)",8.0
AI Love You,Thai Movie - 2022,"A modern love story set in the near future where an AI building is powered by human feelings. Due to a software glitch, it falls in love with a real girl, escapes the building into the body of a real man, and tries to…",6.6
Scala,Thai Movie - 2022,"First, the chandelier is dismantled in the foyer, each string of lamps lowered to the floor one by one. The other retro light fittings come later, after the curtain that lines the walls of the auditorium has been pulled…",
0.1% World,Chinese Movie - 2022,"Tells the love story between a man and woman in different places who perceive each other's emotions and perceptions and communicate. Because of an accident, assistant architect An Yi and piano tuner Gao Ang become connected…",8.1
Don't Forget I Love You,Chinese Movie - 2022,"What if one day your lover forgets you? Will you have the courage to start over and make him fall in love with you again? Once, twice or for the100th time? On the outside, Xing Yue and Lu Yao have a relationship that…",8.1
Ten Years of Loving You,Chinese Movie - 2022,"At 17, Wen Heng who was an adopted child, was finally found by her biological parents and brought back to the family home in Beijing. There, she tries to adjust to her new life with her new family but problems occur…",7.5
Crush on You,Chinese Movie - 2022,,9.0
Tears of Shark in Kunlun,Chinese Movie - 2022,,5.9
Love at the Test Place,Chinese Movie - 2022,"Bai Shi Tong Da is a mysterious organization that never fails in the tasks they take over, whatever it is. Chen Cheng Cheng is a member of this organization. His lover, Chu Yi, is a lively invigilator who is strict,…",
"Small, Slow but Steady",Japanese Movie - 2022,"A hearing-impaired woman with dreams of becoming a professional boxer due to the pandemic is threatened closure of her boxing club and the illness of its ageing president, who has been her biggest supporter, push her…",7.5
My Small Land,Japanese Movie - 2022,"17-year-old Salya grew up in Japan from an early age, leaving the place where she was born with a Kurdish family. She lived a normal high school life, just like the Japanese of her generation, but at some point she lost…",7.8
"Fly, Skating Star",Chinese Movie - 2022,"The film tells the story of Cheng Huan (Jiang Lai), a delivery genius, and Shen Bingxin (Lin Xiao), a short track speed skater who has fallen into a bottleneck.

(Source: Douban)",7.8
Love and Leashes,Korean Movie - 2022,A cheerful and provocative romance between an unlikely pair with differing personalities and tastes. Jung Ji Hoo is a competent and popular high-flying employee at work but one day this image threatens to fall apart…,7.9
Homestay,Japanese Movie - 2022,"Shiro has died temporarily but is told by a mysterious person called ""Guardian"" that he can do a ""homestay"" i.e. his soul to reside in another dead person's body so as to find the reason for the latter's death. However,…",7.8
Usogui,Japanese Movie - 2022,"Madarame Baku is a mysterious gambler. His nickname is Usogui (literally The Lie Eater). Club Kakerou is the top illegal gambling den, where gamblers vie to become the best in their profession. Seeing through the lies…",7.6
The Takatsu River,Japanese Movie - 2022,"Manabu runs a ranch on a mountain in Shimane prefecture where he grew up. In his town, there is a dance called 'KAGURA', which is said to be the origin of kabuki. Local teenagers make their debut at the annual festival.…",7.7
A Chinese Odyssey,Chinese Movie - 2022,"Five hundred years ago, when the havoc in the heavenly palace, the wick Zixia in front of the Buddha's seat was about to burn out. With the help of the Moonlight Treasure Box, Zixia sees that her lamplighter is the Great…",6.9
The Wife,Filipino Movie - 2022,"A couple's marriage gets tainted as the husband cheats. How can the wife take her husband's dying plea to be with her and his mistress at the remaining days of his life?

(Source: VivaMax)",7.0
Legend of Magic Stone,Chinese Movie - 2022,"The film tells the story of Liu Pin, a treasure hunter during the Republic of China. In order to save his father's benefactor He Yun, he promised to follow He Yun's younger brother He Feng to find... (Source: me41.com)",6.8
Goodbye Miss Loser,Chinese Movie - 2022,"Jia Xiao Die is a silly girl at work. One day she is fired and, by chance, finds a magic camera. When she presses the shutter, she is transported to a different time – her high school days, her new career, and her…",7.0
Kitakaze Outsider,Japanese Movie - 2022,"A mother died. People in the neighborhood gather for a family funeral, and they talk about various memories. After the funeral, the eldest son , who had disappeared 17 years earlier, returns. The brothers are confused.…",
The Mystic Nine: Qing Shan Hai Tang,Chinese Movie - 2022,"At the beginning of the 20th century, Zhang Qi Shan and his father were subject to experimentation by the traitor Zuo Qian Zhi. Ten years later, Zhang Qi Shan seeks his revenge. He arrives in Changsha for the first time…",7.5
Behind Cut (Movie),Korean Movie - 2022,"Ki Jin is a budding fashion design student who dreams big: He wants to become a world-famous clothing designer. But the journey to the top of South Korea’s fashion tree is not an easy one, and he is struggling to find…",6.9
Takas,Filipino Movie - 2022,"In an isolated world of a celebrity vs. a psychopath, there will be an ordeal of survival and a run for life.

(Source: SIMKL)",
Mozart's Room,Korean Movie - 2022,"Today, Soo Min takes bass guitar lessons from his dad. Soo Min who hates playing the bass rebels against his father as if he ran out of patience. At that moment, the whole world stopped, then Mezzo and Alto appeared.…",
In a Trance with the Tempo of Temple Street,Hong Kong Movie - 2022,"When faced with huge decisions, many would rather put their fate in the hands of fortune tellers instead of themselves. Miu Miu is one of them. Struggling between a steady job as an accountant and her lifelong dream…",7.7
Hero,Chinese Movie - 2022,"The memorial hall's interpreter Airplane (played by Wang Zirui) and security captain Haozi (played by Sun Hao), the night before the academy's curation, suddenly encountered a thief from Jiangyang who came to steal the…",7.6
Welcome to Yoga Village,Chinese Movie - 2022,"In Yugouliang, a state-level poverty-stricken village in Zhangjiakou City, Hebei Province, where young people go out to work to make a living, there are only about 100 left-behind elderly people and women in the village,…",
No Distance Left to Run,Hong Kong Movie - 2022,"Lilian, a female mega pop star, struggles with the rigorous routine and lifestyle that comes with being a media celebrity. Her demanding job stops her from spending time with her girlfriend Jackie, who wants to move…",7.3
Mosaic Street,Japanese Movie - 2022,"A distraught Japanese talent manager hires Detective Takanori Tokudome and her assistants to find a missing supermodel. Upon conducting an initial investigation, they learned the model disappeared after a photo session…",7.2
Sparklers,Japanese Movie - 2022,"""I'm always on your side."" A woman and a man are enjoying camping. They are not lovers but more than just friends, and not family. The relationship that was supposed to last a lifetime is gradually twisted by the man's…",8.3
A Little Romance,Chinese Movie - 2022,"Song Xuan, a cold and introverted schoolmaster, wandered outside with his parents since he was a child, longing for a stable life in his heart. Liu Wen, a boy from the mountain city, is rebellious and has lived with…",7.7
3:01 AM,Hong Kong Movie - 2022,"A young couple enjoys playing hide-and-seek in the city. Every time, Sea would give Pong a little clue to catch her in the crowd by 3 a.m. Perhaps this is just a rehearsal for bidding farewell - to create some good memories…",7.6
Gratitude,Japanese Movie - 2022,"A man wanders alone, separated from his family, in search of a place to die. He runs away from the massage therapist who is supposed to comfort him, and drives deep into the mountains in a stolen car. He abandons the…",7.5
End Afresh,Hong Kong Movie - 2022,"Death is the end of all humans, but humans can always have choice and all these choices make the meaning of life difference. When Mok was interviewed by Lok, the trenches had been attacked by enemy air force. After surviving…",6.8
Accident,Hong Kong Movie - 2022,"""Incidents are not caused by humans where accidents are. The story starts with a car incident. The traffic police arrived at the scene to take the statement of the driver, “Law Yau Hang”, and two witnesses, “Yan…",6.9
Are You Pregnant With My Child?,Korean Movie - 2022,"When Hyuk Soo agreed to give Yeon Yi his sperm for artificial insemination, this is not what he was expecting.

(Source: MyDramaList)",6.4
