Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
58,#271,My Name,Korean Drama - 2021,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction. Yoon Ji Woo, a member of a organized crime ring, goes undercover as a…",8 episodes,8.7
59,#288,Our Beloved Summer,Korean Drama - 2021,"Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives. Choi Woong seems naive and a free-spirited man, but he wants to…",16 episodes,8.7
60,#1357,A Korean Odyssey,Korean Drama - 2017,"In 2017, Son Oh Gong and Ma Wang are in conflict with each other as they look for a true light in a dark world where evil thrives. Having made a contract with Seon Mi 25 years ago, entitling her to seek help from Son…",20 episodes,8.2
61,#570,I Hear Your Voice,Korean Drama - 2013,"Jang Hye Sung, a bold, sassy, thick-faced, comical, and materialistic public defender who becomes a lawyer after overcoming poverty and painful memories from her childhood, comes to a realization about society and justice…",18 episodes,8.5
62,#23,Move to Heaven,Korean Drama - 2021,"Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people,…",10 episodes,9.1
63,#3225,Abyss,Korean Drama - 2019,"""Abyss"" is the tale of a man and a woman who tragically meet their demise but are granted a second chance at life through soul-reviving marbles found in a mystical abyss. Go Se Yeon, a resilient and exceptionally beautiful…",16 episodes,7.8
64,#67,Mr. Queen,Korean Drama - 2020,"Jang Bong Hwan is a South Korean chef who has risen up the ranks to cook for the country’s top politicians in the Blue House’s presidential residences. After a serious accident, he finds himself in the body of the…",20 episodes,9.0
65,#1092,Love O2O,Chinese Drama - 2016,"Xiao Nai is a gaming expert who, courtesy of his basketball skills, academic excellence, swimming talent, and game company presidency, also happens to be the most popular student on campus. When he first comes across…",30 episodes,8.3
66,#6898,The Bride of Habaek,Korean Drama - 2017,What would you do if you had to continue a strange family legacy? Yoon So Ah is a pragmatic neuropsychiatrist who carries a tremendous financial burden to run her own practice. Her family has been tasked with serving…,16 episodes,7.4
67,#1403,Run On,Korean Drama - 2020,Ki Sun Gyeom is a sprinter on the national team who was forced to quit due to legal issues. Oh Mi Joo writes translated subtitles for movies. She was thrilled to see her name listed among the credits when she first started.…,16 episodes,8.2
68,#6576,"Nevertheless,",Korean Drama - 2021,"Park Jae Eon finds dating a waste of time but likes to flirt. Even though he is friendly and cheerful towards all, he does not pursue others. Park Jae Eon is a master of “push-and-pull” who doesn’t get swept up…",10 episodes,7.4
