Web Series Rank,Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
#1623,Khun Chai Pudhiphat,Thai Drama - 2013,10 episodes,"Khun Chai Pudhiphat is a brilliant young surgeon who has no time for love. Despite the fact that his grandmothers are trying to matchmake him to the second Dhevaprom daughter Maratee, his younger brothers are interested…",7.9
#1624,Kodoku no Gourmet,Japanese Drama - 2012,12 episodes,"Inogashira Goro is a private merchant who personally runs his imported dry goods business on his own. Being a man of few words, he prefers to live an uncomplicated, solitary lifestyle. He smokes but doesn't drink alcohol.…",7.8
#1625,Colorful Love: Genderless Danshi ni Aisareteimasu,Japanese Drama - 2021,10 episodes,"Wako Machida is an editor for a manga magazine. She focuses on her work and she doesn't have time to think about making herself look beautiful. Meanwhile, Meguru Soma is good at adorning himself and he is surrounded…",7.8
#1626,Family,Korean Drama - 2012,120 episodes,"Shut Up Family is a sitcom dealing with the life and happenings of two families; the Woo family, lead by Woo Shin Hye and the Yeol family, lead by Yeol Suk Hwan Woo Shin Hye is divorced but she and her beautiful but…",7.9
#1627,Aishiteru,Japanese Drama - 2009,10 episodes,"Typical mother Noguchi Satsuki spent her days trying to balance her life as a wife to her hard-working husband Kazuhiko and mother to their only son Tomoya, a seemingly withdrawn fifth-grader with whom Satsuki struggled…",7.8
#1628,Wacko at Law,Taiwanese Drama - 2020,15 episodes,"Mai Daqi is a genius in the legal profession, but because of his dissatisfaction with the profitism of the law firm, he shelved his lawyer's license. It wasn't until an air crash that suddenly took the lives of his parents…",7.8
#1629,Itazura na Kiss: Love in Tokyo,Japanese Drama - 2013,16 episodes,"At a high school entrance ceremony, high school student Aihara Kotoko, who isn't that smart, notices the pretty boy Irie Naoki. She falls in love with him immediately. Kotoko initially doesn't express her feelings to…",7.9
#1630,Ashi Girl,Japanese Drama - 2017,12 episodes,"Hayakawa Yui is a 16-year-old girl whose only strong point is her ability to run fast. When her reclusive but genius younger brother invents a time machine, she accidentally gets sent to the Warring States era and meets…",7.9
#1631,Desire Catcher,Chinese Drama - 2023,24 episodes,"In the world of hypnotism, Lu Feng Ping is known for being one of the country's best hypnotists. A true genius in his field, Feng Ping’s skill is unparalleled. Naturally, when the city is rocked by a string of crimes…",7.9
#1632,Seven of Me,Chinese Drama - 2017,38 episodes,"Did she bite off more than she can chew? Bai Xin Xin (Elvira Cai) is a first-year medical intern who crosses paths with Shen Yi Zhen (Zhang Yi Shan), a man from a wealthy family. When Xin Xin is roped into becoming the…",7.9
#1633,To Be a Better Man,Chinese Drama - 2016,42 episodes,"Lu Yuan worked hard in America to become a Michelin 3-starred chef. To many, he is the Devil incarnate, reckless and wanton. But when it comes to the person he loves, he is an entirely different ""good man,"" loyal, kind,…",7.8
#1634,Never Give Up,Chinese Drama - 2023,40 episodes,"The third planning department of Gaofa Electronics Group is a brainstorming department responsible for innovation. It has successfully proposed the ""Gaosi 3s"" cross-generation model, which has become the main product…",7.8
#1635,Judge Dee's Mystery,Chinese Drama - 2024,32 episodes,"It tells the legendary story of Di Renjie who is known for his crime-solving abilities. Di Renjie has conquered the imperial examinations and awaits his official appointment in Chang'an. However, he was suddenly dispatched…",7.8
#1636,Garo: Makai Senki,Japanese Drama - 2011,24 episodes,"Ryosei Konishi, Mika Hijii, Ray Fujita, Yasue Sato, Hironobu Kageyama, and Yukijirō Hotaru reprise their roles from the original television series. Shouma Yamamoto reprises his role from the Beast of the Midnight…",7.8
#1637,TRICK,Japanese Drama - 2000,10 episodes,"Although 23-year-old Yamada Naoko is a talented illusionist, she is continuously fired from jobs and constantly hounded by her landlady for the rent being late. She refuses to give up her unusual vocation as she wants…",7.9
#1638,The Princess and the Werewolf,Chinese Drama - 2023,30 episodes,"Princess Qi Pa wakes up to find herself abducted into the fantastical and surreal world of the Beast-Turning Tribe. She is forced into becoming the bride of the Beast-Turning King, Kui Mu Lang. Despite Qi Pa's repeated…",7.9
#1639,Kore wa Keihi de Ochimasen!,Japanese Drama - 2019,10 episodes,"The story revolves around the daily life of Sana Morikawa, a 30-year-old single woman who works in the finance department of a soap maker. 

(Source: MyDramaList)",7.8
#1640,Party A Who Lives Beside Me,Chinese Drama - 2021,24 episodes,A workplace romance follows Ye Xuan who discovers that her next-door neighbor is none other than the domineering Party A. Ye Xuan is a rookie designer with dreams of her own. She encounters her next-door neighbor Li…,7.8
#1641,Shiroi Haru,Japanese Drama - 2009,11 episodes,"Haruo is finally released from prison after completing his sentence. With nine years worth of prison gratuities in hand, he stops at a restaurant to enjoy a good meal, but all of his money ends up being stolen. With…",7.8
#1642,Detective Chinatown,Chinese Drama - 2020,12 episodes,Strange crimes occur in Thailand as the ranking for the world's best detective sees a shift. New detectives come into the picture to tackle three difficult cases. Lin Mo is the student of Chinatown's number one detective.…,7.9
#1643,Queen of the Ring,Korean Drama - 2017,21 episodes,A society where people are judged by appearances. A fantasy romance drama series where a girl finds a magical ring that transforms her into the most datable person. Mo Nan Hee was never the attractive girl whom guys…,7.9
#1644,Dr. Tang,Chinese Drama - 2022,36 episodes,"A female surgeon who has practiced medicine abroad for many years returns to China. She is appointed as the director of the Heart Center of Ankang Hospital, where she establishes a critical illness team and heads the…",7.8
#1645,Marry Me Now?,Korean Drama - 2018,50 episodes,Park Yoo Ha studied hard in medical school and finished her internship course. She works hard to become a doctor due to her father. Her father raised 4 children by himself and her oldest sister also sacrificed for the…,7.9
#1646,Koko wa Ima kara Rinri desu,Japanese Drama - 2021,8 episodes,"Takayanagi is a mysterious high school ethics teacher. While his students appear innocent, they have serious problems, like being bullied and harming themselves. Takayanagi tosses out words and ideas about ethics and…",7.8
#1647,First Love Again,Chinese Drama - 2021,24 episodes,"In the year 2019, eminent physicist Ye You Ning travels back to his hometown in China from abroad after many years to take care of his ailing grandfather. However, after a thunderstorm, he finds himself transported back…",7.9
#1648,The Fox's Summer,Chinese Drama - 2017,21 episodes,"Gu Cheng Ze, the adopted son of the Gu family, is the CEO of Gu Mall Corporation. Mrs. Gu wishes for her biological grandson, Gu Jin Yu, to take over the company, and Gu Cheng Ze is tasked with guiding the rightful heir…",7.9
#1649,Out of the Dream,Chinese Drama - 2021,30 episodes,"This is a love story between a Peking opera performer, Yu Fei, and a stage play producer, Bai Fei Li. Yu Fei faces expulsion by her teacher after a mistake. Meanwhile, Bai Fei Li is searching for an actress with Peking…",7.8
#1650,The Duke of Mount Deer,Hong Kong Drama - 2001,40 episodes,"The story is centred around an uneducated street urchin Wei Xiao Bao, who was born and raised in a brothel by his mother. Through a series of misadventures, he managed to make his way from the southern playground of…",7.8
#1651,Truth or Dare,Chinese Drama - 2021,30 episodes,A story that follows two couples who mistakenly find themselves in a marriage they never expected and gradually grow in love and trust over time. The cheerful and clever Xiao Wan Zi grew up as a street performer with…,7.9
#1652,GARO,Japanese Drama - 2005,25 episodes,"Garo focuses on the life of Kouga Saezima, who has assumed the title of Makai Knight to protect humanity against dark demonic manifestations called ""Horrors."" In his quest to purge them, he encounters a young girl named…",7.8
#1653,Yae no Sakura,Japanese Drama - 2013,50 episodes,"“Yae no Sakura” will tell the story of Niijima Yae, also known as Yamamoto Yaeko, who was born into the Aizu Domain during the late Edo period. Skilled in gunnery, she helped defend Aizu during the Boshin War, earning…",7.9
#1654,I Hear You,Chinese Drama - 2019,24 episodes,"Bei Er Duo, a girl from an ordinary family, dreams about studying in Japan to be a professional voice actress. However, her mother wants her to marry rich whilst she is young, leading to continuous blind dates which…",7.8
#1655,Don Quixote,Japanese Drama - 2011,11 episodes,"In this unusual story, Matsuda plays a child welfare official Shirota working at a child consultation center, while Takahashi Katsumi plays a charitable yakuza boss Sabashima. These two lead completely different lives,…",7.9
#1656,"My Lawyer, Mr. Jo",Korean Drama - 2016,20 episodes,"Once a star prosecutor with a bright future, Jo Deul Ho loses everything after becoming a whistleblower against the intolerable corruption he witnesses. He instead rebuilds his life as a lawyer at a small neighborhood…",7.8
#1657,Nice Witch,Korean Drama - 2018,40 episodes,"A housewife too nice for her own good is married to an unemployed husband. She switches places with her selfish, opinionated twin sister, who works as a flight attendant. Although they are identical twins, they have…",7.8
#1658,U-Prince: The Badly Politics,Thai Drama - 2017,4 episodes,"Cherrymilk, a young fashion lover, is forced to study Political Science by an order from her father. During a class, her teacher asked her to do a project but ended up being punished by her father. To survive, she looks…",7.9
#1659,Unique Lady Season 2,Chinese Drama - 2019,12 episodes,"The story continues with Luo Jing being offered an extra reload chance that entails taking part in an unveiling ceremony on a ship, an event Wu Mei forbade her from attending, fearing she would drown as the fortuneteller…",7.9
#1660,Satsui no Michinori,Japanese Drama - 2020,7 episodes,"Due to heavy debts incurred by CEO Yushiyuki, the owner of a small cardboard processing company was forced into bankruptcy and driven to suicide. Despite pleas from the man's family, Yoshiyuki remained unpunished by…",7.8
